Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce,NoiseMean,NoiseStd,NoiseInstance,Friction
1,-50,-50,endpos,798.988800543613,1142.2576996262653,None,0,0,0,0,0.975
2,0,-50,endpos,754.9632313093587,854.7898463977747,None,0,0,0,0,0.975
3,0,-50,endpos,541.9843698226275,741.9921849113128,None,0,0,0,0,0.975
4,0,-50,endpos,789.9088625838647,892.4214045759513,None,0,0,0,0,0.975
5,0,-50,endpos,806.9322331047499,848.5559515180871,None,0,0,0,0,0.975
6,0,-50,endpos,291.9671288528785,792.0098146170955,None,0,0,0,0,0.975
7,0,-50,endpos,695.9903172955388,774.493948309712,None,0,0,0,0,0.975
8,-50,-100,endpos,34.9944068035405,297.83714875765446,None,0,0,0,0,0.975
9,0,-100,endpos,285.99084773931094,422.08625558506697,None,0,0,0,0,0.975
10,0,-100,endpos,645.971540401465,709.0448476411234,None,0,0,0,0,0.975
11,0,-100,endpos,1046.802592884853,683.9553328072665,Sudden,2,0,0,0,0.975
12,0,-100,endpos,694.9065015380403,672.9065015380402,Sudden,2,0,0,0,0.975
13,0,-100,endpos,722.3129535088601,675.926463417908,Sudden,2,0,0,0,0.975
14,0,-100,endpos,911.4561051854232,413.94205195973103,Sudden,2,0,0,0,0.975
15,0,-100,endpos,755.9016310517073,564.9390928928252,Sudden,2,0,0,0,0.975
